n_routes,variant,budget_pct,time_s,n_pareto,hv,igd,spread,speedup,shadow_price
12,MOEA/D,0.8,9.97,31,564767513857.374,0.267743,1.7471,0.39,0.065
12,NSGA3-Random,0.8,3.9,84,366466936267.7532,0.124736,0.7984,1.0,0.065
12,NSGA3-CAPS,0.8,3.74,84,402684999405.6579,0.135917,0.7972,1.04,0.065
12,NSGA3-SPRD,0.8,5.17,84,472135341333.3424,0.143498,0.7857,0.75,0.065
12,NSGA3-DCCT,0.8,4.74,84,624161371987.0287,0.108783,0.7192,0.82,0.065
25,MOEA/D,0.8,17.13,63,9395991850303.256,0.220009,1.847,0.43,0.065
25,NSGA3-Random,0.8,7.29,84,2200994756133.4834,0.257649,0.9557,1.0,0.065
25,NSGA3-CAPS,0.8,9.33,84,3985886729771.5117,0.195189,0.7938,0.78,0.065
25,NSGA3-SPRD,0.8,9.76,84,2137109903243.955,0.196177,1.1838,0.75,0.065
25,NSGA3-DCCT,0.8,10.17,84,8238381819432.047,0.139603,0.7737,0.72,0.065
50,MOEA/D,0.8,31.58,57,29272511589644.57,0.323708,1.8388,0.64,0.065
50,NSGA3-Random,0.8,20.08,84,4918459277562.246,0.2899,1.0431,1.0,0.065
50,NSGA3-CAPS,0.8,19.57,84,9441593344116.209,0.103581,1.0654,1.03,0.065
50,NSGA3-SPRD,0.8,19.68,84,6797159447867.256,0.227672,0.7137,1.02,0.065
50,NSGA3-DCCT,0.8,18.59,84,17075747390473.986,0.141909,1.1991,1.08,0.065
